,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
11,37.255,52.806,18.916,11.954,4.183,17.917,22.24,28.58,30.589,16.48,0.0,12.557,18.936,24.809,41.716,43.767,26.226,37.195,36.621,51.131,40.485,47.093,57.518,49.753,24.647,46.786,30.578,55.148,40.339,51.858,43.292,46.383,48.477,26.589,52.319,73.664,31.139,22.88,14.829,5.673,8.181,3.039,11.758,15.938,30.035,27.487,24.614,18.644,29.894,31.653,38.533,48.993,46.293,42.632,49.184,45.627,37.637,48.077,39.442,39.333,37.215,46.809,45.561,47.015,51.551,58.128,63.912,66.191,67.842,63.536,35.316,41.311,43.013,42.332,47.269
12,48.447,39.835,18.158,17.419,12.973,27.538,31.861,31.27,35.828,21.627,12.565,0.0,10.969,16.842,28.745,30.796,18.259,24.224,23.65,38.16,27.514,34.122,44.547,36.782,18.152,33.815,24.083,42.177,62.933,38.887,30.321,33.412,35.506,20.436,39.348,60.693,25.605,18.591,8.334,12.77,9.319,10.495,12.632,14.293,27.326,29.049,30.677,24.707,35.957,37.716,44.596,55.056,52.356,48.695,55.247,51.69,43.7,54.14,45.505,45.396,43.278,50.844,51.624,52.821,57.614,64.448,69.975,72.254,73.905,69.599,41.379,47.374,49.076,48.395,53.332
13,43.306,34.694,32.364,24.804,19.363,37.894,42.217,48.557,50.566,28.338,18.955,10.98,0.0,7.109,17.596,10.949,8.526,19.083,18.509,33.019,22.373,28.981,39.406,31.641,19.141,28.674,32.636,37.036,57.792,33.746,25.18,28.271,30.365,22.561,34.207,55.552,27.49,24.487,12.928,19.16,15.141,16.885,18.718,18.887,29.266,40.935,38.062,32.055,43.305,45.064,51.944,62.404,59.704,56.043,62.595,59.038,51.048,61.488,52.853,52.744,50.626,60.22,58.972,60.169,64.962,71.539,68.095,68.357,81.253,68.536,48.727,54.722,56.424,55.743,60.68
14,38.605,29.993,27.307,30.683,25.242,43.773,48.096,54.436,56.445,34.217,24.834,16.859,7.115,0.0,9.735,5.186,2.763,14.382,15.608,28.349,15.027,18.675,34.736,26.971,19.75,23.973,27.935,32.335,53.122,29.045,20.479,23.601,25.664,23.17,29.506,50.882,31.81,25.096,18.807,25.039,21.02,22.764,24.597,24.766,29.875,36.505,43.941,37.934,49.221,50.943,57.823,68.283,65.583,61.922,68.474,64.917,56.927,67.367,58.732,58.623,56.505,66.099,64.851,66.048,70.841,77.418,83.202,85.481,89.925,82.826,54.606,60.601,62.303,61.622,66.559
15,33.705,25.093,31.604,39.05,44.225,52.14,56.463,62.803,64.812,47.195,42.59,28.414,18.931,9.735,0.0,6.804,7.288,9.482,8.485,23.449,10.127,14.137,29.836,22.071,24.047,19.073,23.035,27.435,48.222,24.145,15.579,18.701,20.764,24.71,24.606,45.982,26.91,29.393,24.135,42.795,32.575,34.319,36.152,28.472,29.995,35.256,52.308,46.301,57.551,59.31,66.19,76.65,73.987,70.289,76.841,73.284,65.331,75.734,67.099,66.99,64.872,74.466,73.218,74.415,79.208,85.785,91.569,93.848,95.499,91.193,62.973,68.968,70.67,69.989,74.926
16,35.784,27.172,33.683,41.129,46.304,54.219,58.542,64.882,66.891,38.067,44.669,30.493,10.965,5.213,5.104,0.0,2.45,11.561,10.564,25.528,12.206,16.216,31.915,24.15,26.126,21.152,25.114,29.514,50.301,26.224,17.658,20.78,22.843,26.789,26.685,48.061,28.989,31.472,26.214,44.874,34.654,36.398,38.231,30.551,32.074,37.335,54.387,48.38,59.63,61.389,68.269,78.729,76.029,72.368,78.92,75.363,67.41,77.813,69.178,69.069,66.951,76.545,75.297,76.494,81.287,87.864,93.648,95.927,97.578,93.272,65.052,71.047,72.749,72.068,77.005
17,38.381,29.769,28.734,32.11,26.669,45.2,49.523,55.863,57.872,35.644,26.261,18.286,8.542,2.866,7.288,2.637,0.0,14.158,13.161,28.125,14.803,18.451,34.512,26.747,21.177,23.749,27.711,32.111,52.898,28.821,20.255,23.377,25.44,24.597,29.282,50.658,31.586,26.523,20.234,26.466,22.447,24.191,26.024,26.193,34.671,37.932,45.368,39.361,50.611,52.37,59.25,69.71,67.01,63.349,69.901,66.344,58.354,68.794,60.159,60.05,57.932,67.526,66.278,67.475,72.268,78.845,84.629,86.908,91.352,84.253,56.033,62.028,63.73,63.049,67.986
18,28.913,20.301,26.016,33.462,38.637,46.552,50.875,57.215,59.224,41.607,37.002,22.826,18.715,14.088,9.211,11.262,13.87,0.0,4.116,18.657,3.929,4.474,25.044,11.275,18.459,14.281,18.243,22.643,43.43,14.787,7.221,7.51,15.972,19.918,15.248,41.19,22.118,23.805,18.547,37.207,26.987,28.731,30.564,22.884,25.203,30.464,46.72,40.713,51.963,53.722,60.602,71.062,68.362,64.701,71.253,67.696,59.706,70.146,61.511,61.402,59.284,68.878,67.63,68.827,73.62,80.197,85.981,88.26,89.911,85.605,57.385,63.38,65.082,64.401,69.338
19,28.677,20.065,26.576,34.022,39.197,47.112,51.435,57.775,59.784,42.167,37.562,23.386,19.275,13.303,8.426,10.477,13.085,4.454,0.0,18.421,8.66,9.109,24.808,17.043,19.019,14.045,18.007,22.407,43.194,19.117,10.551,13.673,15.736,19.682,19.578,40.954,21.882,24.365,19.107,37.767,27.547,29.291,31.124,23.444,24.967,30.228,47.28,41.273,52.523,54.282,61.162,71.622,68.922,65.261,71.813,68.256,60.266,70.706,62.071,61.962,59.844,69.438,68.19,69.387,74.18,80.757,86.541,88.82,90.471,86.165,57.945,63.94,65.642,64.961,69.898
20,27.104,18.744,40.232,47.678,52.853,60.768,65.091,71.431,73.44,55.823,51.218,37.042,32.931,28.336,23.459,25.51,28.118,18.142,18.364,0.0,12.3,9.12,22.333,8.928,20.165,16.046,19.483,21.086,24.344,16.837,13.182,5.936,16.929,21.683,15.407,38.479,23.781,38.021,32.763,51.423,41.203,42.947,44.78,37.1,25.623,30.842,60.936,54.929,66.179,67.938,74.818,85.278,82.578,78.917,85.469,81.912,73.922,84.362,75.727,75.618,73.5,83.094,81.846,83.043,87.836,94.413,100.197,102.476,104.127,99.821,71.601,77.596,79.298,78.617,83.554
