,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
16,3.273,2.953,2.948,3.606,3.067,2.331,2.339,2.196,1.08,1.531,1.351,0.747,2.886,1.94,0.509,0.0,1.027,1.577,1.616,2.599,1.567,1.278,2.181,1.526,2.605,1.934,2.499,3.874,3.517,2.202,3.186,2.919,4.556,4.861,4.581,3.564,3.434,3.434,4.322,4.12,3.703,4.842,4.843,5.017,4.675,4.787,6.795,6.482,5.736,6.994
17,3.274,2.954,2.949,3.607,3.068,2.164,2.172,2.029,0.275,1.364,1.352,1.26,2.729,2.173,0.837,0.064,0.0,1.578,1.215,2.6,1.568,1.511,2.024,1.359,2.438,2.542,2.332,3.707,3.35,2.213,3.019,2.752,4.389,4.694,4.414,3.397,3.267,3.986,4.323,3.953,3.536,4.675,4.676,4.85,4.508,4.62,6.628,6.315,5.569,6.827
18,3.736,3.416,3.411,4.069,2.786,3.32,3.439,4.18,2.657,2.631,1.886,0.974,2.817,1.871,1.275,1.179,1.18,0.0,0.405,2.35,0.891,1.209,2.112,1.435,2.64,1.865,2.534,3.508,3.552,2.133,3.221,2.954,4.591,4.495,4.215,3.599,3.469,2.625,3.513,3.622,3.337,4.344,4.345,4.651,4.71,5.142,6.83,6.517,5.771,6.741
19,3.775,3.455,3.45,4.108,2.825,3.359,3.229,4.219,2.132,2.218,1.925,1.013,2.856,1.279,1.314,1.218,1.219,0.405,0.0,1.945,0.633,1.248,2.151,1.474,2.679,1.904,2.573,3.103,3.25,2.172,3.26,2.993,4.422,4.09,3.81,3.43,3.508,2.22,3.108,3.217,2.932,3.939,3.94,4.246,4.541,4.737,6.511,6.556,5.81,6.336
20,5.658,5.338,5.55,5.991,4.317,4.851,4.721,4.81,3.624,3.71,3.643,2.467,2.796,2.733,3.032,2.936,2.937,2.612,2.644,0.0,2.169,2.702,3.605,2.928,3.147,3.358,3.677,3.744,3.891,3.626,4.155,4.485,5.063,4.731,4.451,4.071,3.88,2.861,2.6,3.858,3.573,4.58,4.581,4.887,5.182,5.378,6.592,7.124,6.547,6.417
21,4.386,4.066,4.061,4.719,3.436,3.97,3.84,3.929,2.743,2.829,2.536,1.624,2.255,1.89,1.925,1.829,1.83,1.396,0.654,2.004,0.0,1.859,2.762,2.085,2.606,2.515,2.807,3.348,3.495,2.783,3.871,3.604,4.667,4.335,4.055,3.675,4.119,2.465,3.353,3.462,3.177,4.184,4.185,4.491,4.786,4.982,6.756,7.167,6.151,6.581
22,4.416,4.096,4.091,4.749,3.466,2.919,2.927,2.29,1.668,2.119,2.566,1.283,1.828,0.662,1.28,1.278,1.511,1.309,1.348,2.733,1.605,0.0,1.123,0.446,1.651,1.245,1.545,2.92,2.563,1.144,2.232,1.965,3.602,3.907,3.627,2.61,2.48,3.199,4.15,3.166,2.749,3.888,3.889,4.063,3.721,3.833,5.841,5.528,4.782,6.04
23,5.679,5.359,5.354,6.012,4.729,3.792,3.8,3.163,2.427,2.878,3.829,2.052,0.705,1.276,2.543,2.313,2.27,2.572,2.524,2.933,1.961,1.218,0.0,1.092,0.528,1.035,0.422,1.51,1.153,0.837,1.292,2.388,2.979,2.497,2.217,1.837,1.07,1.188,2.101,1.756,1.339,2.478,2.479,2.653,3.098,3.144,5.05,4.987,4.41,4.875
24,4.642,4.322,4.317,4.975,3.692,2.767,2.775,2.138,1.516,1.967,2.792,1.509,1.437,0.972,1.506,1.402,1.359,1.535,1.574,2.959,1.831,0.446,0.732,0.0,1.26,1.119,1.154,2.768,2.411,0.992,2.08,1.813,3.45,3.755,3.475,2.458,2.328,3.047,3.998,3.014,2.597,3.736,3.737,3.911,3.569,3.681,5.689,5.376,4.63,5.888
25,5.853,5.533,5.528,6.186,4.903,3.966,3.974,3.223,2.601,3.052,4.003,2.226,1.337,1.45,2.717,2.487,2.444,2.45,2.045,3.549,1.482,1.392,0.632,1.266,0.0,1.209,0.45,1.684,1.327,1.011,1.466,2.562,3.168,2.836,2.556,2.176,1.244,1.216,1.854,1.93,1.513,2.685,2.686,2.992,3.287,3.483,5.257,5.229,4.652,5.082
